//Flight 0
//Date 2008/04/28
Random  Base1
  3.064028           51491.10 
  3.064167           51491.40 
  3.064306           51490.70 
  3.064444           51491.10 
  3.064583           51473.90 
  3.064722           51491.10 
  3.064861           51490.10 
  3.065000           51490.60 
  3.065139           51491.20 
  3.065278           51491.20 
  3.065417           51491.20 
  3.065556           51491.00 
  3.065694           51490.80 
  3.065833           51491.90 
  3.065972           51491.40 
  3.066111           51490.60 
  3.066250           51491.10 
  3.066389           51491.00 
  3.066528           51481.50 
  3.066667           51487.90 
  3.066806           51490.50 
  3.066944           51491.70 
  3.067083           51490.00 
  3.067222           51490.80 
  3.067361           51491.50 
  3.067500           51491.80 
  3.067639           51490.20 
  3.067778           51490.80 
  3.067917           51490.50 
  3.068056           51490.80 
  3.068194           51489.80 
  3.068333           51491.70 
  3.068472           51491.70 
  3.068611           51492.20 
  3.068750           51491.40 
  3.068889           51492.20 
  3.069028           51491.60 
  3.069167           51491.10 
  3.069306           51492.10 
  3.069444           51492.00 
  3.069583           51492.30 
  3.069722           51491.60 
  3.069861           51489.90 
  3.070000           51491.20 
  3.070139           51490.90 
  3.070278           51490.00 
  3.070417           51490.60 
  3.070556           51491.60 
  3.070694           51490.60 
  3.070833           51491.40 
  3.070972           51491.30 
  3.071250           51492.10 
  3.071389           51492.00 
  3.071528           51488.90 
  3.071667           51492.30 
  3.071806           51491.80 
  3.071944           51491.30 
  3.072083           51486.40 
  3.072222           51493.90 
  3.072361           51492.00 
  3.072500           51491.70 
  3.072639           51244.10 
  3.072778           51232.20 
  3.072917           51465.90 
  3.073056           51270.40 
  3.073194           49854.80 
  3.073333           49606.40 
  3.073472           50541.60 
  3.073611           51026.40 
  3.073750           50384.10 
  3.073889           51481.90 
  3.074028           51038.20 
  3.074167           51740.00 
  3.074306           49106.20 
  3.074444           48242.90 
  3.074583           51507.80 
  3.074722           49569.50 
  3.074861           49340.80 
  3.075000           48924.40 
  3.075139           51027.90 
  3.075278           51512.60 
  3.075417           51496.30 
  3.075556           51486.60 
  3.075694           51479.90 
  3.075833           51496.10 
  3.075972           51491.10 
  3.076111           51490.20 
  3.076250           51490.60 
  3.076389           51492.00 
  3.076528           51490.00 
  3.076667           51467.40 
  3.076806           51503.80 
  3.076944           51490.00 
  3.077083           51490.10 
  3.077222           51491.20 
  3.077361           51490.10 
  3.077500           51475.40 
  3.077639           51488.40 
  3.077778           51492.00 
  3.077917           51490.70 
  3.078056           51492.00 
  3.078194           51491.40 
  3.078333           51490.20 
  3.078472           51491.50 
  3.078611           51492.20 
  3.078750           50784.80 
  3.078889           51482.60 
  3.079028           51023.40 
  3.079167           50089.50 
  3.079306           49155.40 
  3.079444           50765.10 
  3.079583           49951.00 
  3.079722           50533.60 
  3.079861           51265.20 
  3.080000           51478.20 
  3.080139           51422.70 
  3.080278           51255.00 
  3.080417           51486.20 
  3.080556           51490.50 
  3.080694           51491.30 
  3.080833           51492.60 
  3.080972           51488.80 
  3.081111           51489.10 
  3.081250           51492.80 
  3.081389           51490.90 
  3.081528           51489.90 
  3.081667           51493.40 
  3.081806           51489.30 
  3.081944           51470.30 
  3.082083           51018.90 
  3.082222           51010.30 
  3.082361           51273.60 
  3.082500           51478.90 
  3.082639           51489.30 
  3.082778           51475.40 
  3.082917           51293.40 
  3.083056           51008.90 
  3.083194           51227.80 
  3.083333           50792.00 
  3.083472           50354.60 
  3.083611           50782.00 
  3.083750           51222.00 
  3.083889           50579.90 
  3.084028           51263.30 
  3.084167           51252.90 
  3.084306           51273.20 
  3.084444           53129.40 
  3.084583           52886.00 
  3.084722           49842.60 
  3.084861           50024.00 
  3.085000           50325.00 
  3.085139           51472.90 
  3.085278           51462.60 
  3.085417           51475.60 
  3.085556           51493.50 
  3.085694           51476.00 
  3.085833           51464.90 
  3.085972           51489.70 
  3.086111           51491.00 
  3.086250           51491.20 
  3.086389           51491.90 
  3.086528           51490.30 
  3.086667           51492.90 
  3.086806           51491.10 
  3.086944           51491.10 
  3.087083           51485.20 
  3.087222           50018.20 
  3.087361           49077.20 
  3.087500           50056.90 
  3.087639           50492.40 
  3.087778           51007.10 
  3.087917           51480.60 
  3.088056           51476.10 
  3.088194           51491.70 
  3.088333           51487.00 
  3.088472           51518.80 
  3.088611           51492.80 
  3.088750           51505.60 
  3.088889           51490.80 
  3.089028           51492.00 
  3.089167           51491.20 
  3.089306           51491.30 
  3.089444           51490.70 
  3.089583           51491.90 
  3.089722           51492.40 
  3.089861           51491.90 
  3.090000           51504.10 
  3.090139           51468.00 
  3.090278           51474.20 
  3.090417           51260.00 
  3.090556           51462.10 
  3.090694           51468.90 
