/--------------------------    S C I N T R E X    -----------------------------
/!  Revision:	4.3F
/!  Line____:	0.00000 +
/!  Date____:	08/04/28
/!  Job_____:	0      
/!  Operator:	
/!  Serial__:	0      
/!  Basefld_:	51500
/!  Duration:	0.5
/!  Cyc_Time:	0.5
/!  Station_:	0.00000 +
/!  Mag_Data:	Hours/TotFld/Time
/------------------------------------------------------------------------------
 3.035833  51508.9  03:02:09
 3.035972  51479.2  03:02:09
 3.036111  50998.5  03:02:10
 3.036250  51261.2  03:02:10
 3.036389  51493.3  03:02:11
 3.036528  51483.4  03:02:11
 3.036667  51488.8  03:02:12
 3.036806  51486.1  03:02:12
 3.036944  51490.1  03:02:13
 3.037083  51491.6  03:02:13
 3.037222  51490.1  03:02:14
 3.037361  51491.4  03:02:14
 3.037500  51491.6  03:02:15
 3.037639  51492.4  03:02:15
 3.037778  51492.5  03:02:16
 3.037917  51490.3  03:02:16
 3.038056  51490.6  03:02:17
 3.038194  51485.4  03:02:17
 3.038333  51492.6  03:02:18
 3.038472  51491.8  03:02:18
 3.038611  51492.3  03:02:19
 3.038750  51491.8  03:02:19
 3.038889  51491.1  03:02:20
 3.039028  51490.9  03:02:20
 3.039167  51490.4  03:02:21
 3.039306  51490.9  03:02:21
 3.039444  51491.9  03:02:22
 3.039583  51491.0  03:02:22
 3.039722  51491.8  03:02:23
 3.039861  51504.4  03:02:23
 3.040000  51028.2  03:02:24
 3.040139  51447.2  03:02:24
 3.040278  51482.6  03:02:25
 3.040417  51497.0  03:02:25
 3.040556  51474.4  03:02:26
 3.040694  51505.3  03:02:26
 3.040833  50099.1  03:02:27
 3.040972  51317.3  03:02:27
 3.041111  51211.6  03:02:28
 3.041250  51472.3  03:02:28
 3.041389  50794.3  03:02:29
 3.041528  51698.8  03:02:29
 3.041667  51261.6  03:02:30
 3.041806  52688.8  03:02:30
 3.041944  47260.0  03:02:31
 3.042083  49345.7  03:02:31
 3.042222  47475.2  03:02:32
 3.042361  46638.4  03:02:32
 3.042500  49118.0  03:02:33
 3.042639  44716.2  03:02:33
 3.042778  44199.7  03:02:34
 3.042917  50401.8  03:02:34
 3.043056  44713.4  03:02:35
 3.043194  44938.6  03:02:35
 3.043333  51238.9  03:02:36
 3.043472  51491.0  03:02:36
 3.043611  51492.6  03:02:37
 3.043750  51476.7  03:02:37
 3.043889  51489.4  03:02:38
 3.044028  51491.2  03:02:38
 3.044167  51491.2  03:02:39
 3.044306  51491.6  03:02:39
 3.044444  51491.3  03:02:40
 3.044583  51491.4  03:02:40
 3.044722  51487.3  03:02:41
 3.044861  51491.6  03:02:41
 3.045000  51489.3  03:02:42
 3.045139  51491.4  03:02:42
 3.045278  51490.7  03:02:43
 3.045417  51491.3  03:02:43
 3.045556  51490.7  03:02:44
 3.045694  51489.9  03:02:44
 3.045833  51490.0  03:02:45
 3.045972  51490.3  03:02:45
 3.046111  51490.9  03:02:46
 3.046250  51491.8  03:02:46
 3.046389  51490.3  03:02:47
 3.046528  51490.8  03:02:47
 3.046667  51490.8  03:02:48
 3.046806  51492.4  03:02:48
 3.046944  51481.2  03:02:49
 3.047083  51491.0  03:02:49
 3.047222  51491.9  03:02:50
 3.047361  51492.4  03:02:50
 3.047500  51491.6  03:02:51
 3.047639  51491.3  03:02:51
 3.047778  51491.0  03:02:52
 3.047917  51490.5  03:02:52
 3.048056  51490.8  03:02:53
 3.048194  51490.9  03:02:53
 3.048333  51491.1  03:02:54
 3.048472  51491.7  03:02:54
 3.048611  51490.6  03:02:55
 3.048750  51491.2  03:02:55
 3.048889  51491.2  03:02:56
 3.049028  51490.6  03:02:56
 3.049167  51489.9  03:02:57
 3.049306  51490.4  03:02:57
 3.049444  51491.4  03:02:58
 3.049583  51491.4  03:02:58
 3.049722  51490.1  03:02:59
 3.049861  51491.1  03:02:59
 3.050000  51491.4  03:03:00
 3.050139  51491.1  03:03:00
 3.050278  51490.7  03:03:01
 3.050417  51456.9  03:03:01
 3.050556  51490.5  03:03:02
 3.050694  51491.7  03:03:02
 3.050833  51492.3  03:03:03
 3.050972  51491.9  03:03:03
 3.051111  51491.3  03:03:04
 3.051250  51491.4  03:03:04
 3.051389  51490.6  03:03:05
 3.051528  51490.9  03:03:05
 3.051667  51489.8  03:03:06
 3.051806  51490.2  03:03:06
 3.051944  51491.1  03:03:07
 3.052083  51491.6  03:03:07
 3.052222  51491.4  03:03:08
 3.052361  51490.4  03:03:08
 3.052500  51491.1  03:03:09
 3.052639  51491.2  03:03:09
 3.052778  51492.1  03:03:10
 3.052917  51491.0  03:03:10
 3.053056  51492.0  03:03:11
 3.053194  51490.2  03:03:11
 3.053333  51490.5  03:03:12
 3.053472  51491.0  03:03:12
 3.053611  51490.8  03:03:13
 3.053750  51491.0  03:03:13
 3.053889  51491.0  03:03:14
 3.054028  51490.8  03:03:14
 3.054167  51491.8  03:03:15
 3.054306  51492.2  03:03:15
